,Name,Purpose,neg,neu,pos,compound
0,"Alvarez, Russo and Lopez",Universal exuding knowledge user for disintermediate dot-com eyeballs,0.0,1.0,0.0,0.0
1,Khan PLC,User-friendly mission-critical service-desk for engage viral paradigms,0.0,0.714,0.286,0.34
2,Clark and Sons,Multi-layered bi-directional interface for redefine holistic markets,0.0,1.0,0.0,0.0
3,"Nichols, Martin and Young",Organic web-enabled Graphic Interface for seize plug-and-play e-tailers,0.0,1.0,0.0,0.0
4,"Conley, Burns and Palmer",Front-line tangible frame for aggregate clicks-and-mortar architectures,0.0,1.0,0.0,0.0
5,"Levy, Gonzalez and Russell",Upgradable composite task-force for incubate global portals,0.0,1.0,0.0,0.0
6,"Johnson, Perez and Foster",Phased tangible complexity for drive revolutionary experiences,0.0,1.0,0.0,0.0
7,Johnson Group,Total fault-tolerant middleware for deliver sticky e-commerce,0.0,1.0,0.0,0.0
8,Cameron and Sons,Multi-lateral needs-based initiative for engage dynamic technologies,0.0,0.5,0.5,0.6124
9,Clark-Hartman,Expanded homogeneous structure for matrix ubiquitous partnerships,0.0,1.0,0.0,0.0
10,"Floyd, Smith and Lopez",Public-key client-driven throughput for disintermediate impactful systems,0.0,1.0,0.0,0.0
11,Moreno-Reed,Reverse-engineered contextually-based Local Area Network for brand wireless methodologies,0.0,1.0,0.0,0.0
12,Padilla-Stewart,Streamlined dedicated utilization for empower mission-critical paradigms,0.0,0.667,0.333,0.4588
13,Fernandez-Khan,Customer-focused content-based architecture for incubate killer mindshare,0.417,0.583,0.0,-0.6486
14,Alvarez and Sons,Organized eco-centric Local Area Network for whiteboard one-to-one channels,0.0,1.0,0.0,0.0
15,Palmer-Miller,Profit-focused content-based open system for matrix frictionless ROI,0.0,1.0,0.0,0.0
16,"Browning, Johnson and Ryan",Profit-focused object-oriented database for redefine ubiquitous technologies,0.0,1.0,0.0,0.0
17,Strong-Day,Ameliorated next generation productivity for streamline proactive methodologies,0.0,0.714,0.286,0.4215
18,"Rhodes, Turner and Logan",User-friendly optimizing analyzer for iterate vertical e-markets,0.0,0.667,0.333,0.4588
19,"Lopez, Luna and Wright",Up-sized stable definition for scale end-to-end e-markets,0.0,0.732,0.268,0.296
20,"Woods, Mckinney and Rogers",Horizontal hybrid pricing structure for orchestrate proactive convergence,0.0,0.714,0.286,0.4215
21,Davis and Sons,Focused regional knowledgebase for deliver cross-media ROI,0.0,0.698,0.302,0.3818
22,"Jensen, Hooper and Miller",De-engineered 3rdgeneration synergy for visualize B2C infrastructures,0.0,1.0,0.0,0.0
23,Carter Ltd,Secured directional encryption for deliver wireless niches,0.0,0.69,0.31,0.4019
24,"Walker, Kirby and Johnson",Team-oriented bifurcated parallelism for facilitate holistic functionalities,0.0,1.0,0.0,0.0
25,"Morse, Clark and Jensen",Integrated disintermediate methodology for unleash open-source communities,0.0,1.0,0.0,0.0
26,Hudson LLC,Secured non-volatile open system for orchestrate turn-key infrastructures,0.0,0.722,0.278,0.4019
27,Wood-Gonzales,Up-sized holistic secured line for revolutionize real-time convergence,0.0,0.722,0.278,0.4019
28,"Lane, Haas and Holmes",Organized dynamic moratorium for exploit web-enabled synergies,0.156,0.556,0.289,0.296
29,Garza-Rodriguez,Re-contextualized solution-oriented initiative for brand world-class methodologies,0.0,1.0,0.0,0.0
30,Salas Inc,Re-engineered methodical paradigm for benchmark granular info-mediaries,0.0,0.789,0.211,0.1531
31,Obrien PLC,Open-architected client-driven access for transform intuitive experiences,0.0,1.0,0.0,0.0
32,Vargas-Nichols,Extended fresh-thinking challenge for mesh customized users,0.0,0.822,0.178,0.0772
33,Burton and Sons,Reduced tangible alliance for facilitate visionary mindshare,0.0,0.638,0.362,0.5267
34,"Price, Phillips and Cole",Seamless well-modulated protocol for transform bleeding-edge ROI,0.0,1.0,0.0,0.0
35,Lucero and Sons,Diverse static hardware for benchmark intuitive markets,0.0,1.0,0.0,0.0
36,Powell-May,Upgradable national methodology for aggregate front-end action-items,0.0,1.0,0.0,0.0
37,Carter-Hernandez,Fundamental multi-tasking array for redefine value-added info-mediaries,0.0,1.0,0.0,0.0
38,Warren-Salas,Cloned foreground portal for streamline bricks-and-clicks bandwidth,0.0,1.0,0.0,0.0
39,Roberts-Rodriguez,Phased secondary service-desk for streamline intuitive communities,0.0,1.0,0.0,0.0
40,Gonzalez-Johnson,Enterprise-wide non-volatile firmware for expedite collaborative models,0.0,1.0,0.0,0.0
41,Erickson-Washington,Open-architected disintermediate collaboration for enhance turn-key markets,0.0,1.0,0.0,0.0
42,Sanders Group,Implemented object-oriented toolset for seize mission-critical systems,0.0,1.0,0.0,0.0
43,"Bell, Young and Fox",Multi-tiered 6thgeneration portal for whiteboard B2C deliverables,0.0,1.0,0.0,0.0
44,"Huff, Lambert and Morton",Proactive actuating ability for repurpose dynamic architectures,0.0,0.342,0.658,0.7717
45,Crawford PLC,Pre-emptive tertiary application for drive revolutionary users,0.0,1.0,0.0,0.0
46,"Edwards, Lane and Daugherty",Visionary heuristic contingency for strategize revolutionary metrics,0.0,0.638,0.362,0.5267
47,Andrade-Jones,Re-contextualized background capacity for repurpose front-end partnerships,0.0,1.0,0.0,0.0
48,Hanna and Sons,Optimized interactive task-force for benchmark world-class models,0.0,0.667,0.333,0.4588
49,"Cummings, Davidson and Ward",Intuitive dynamic hub for benchmark visionary e-markets,0.0,0.455,0.545,0.7184
50,Taylor Ltd,Expanded national circuit for aggregate killer systems,0.417,0.583,0.0,-0.6486
51,"Ruiz, Jones and Turner",Synchronized fault-tolerant superstructure for disintermediate visionary relationships,0.0,0.638,0.362,0.5267
52,Elliott-Fletcher,Optional holistic forecast for monetize 24/365 mindshare,0.0,1.0,0.0,0.0
53,Vasquez-Jenkins,Configurable holistic superstructure for exploit 24/7 e-commerce,0.189,0.811,0.0,-0.1027
54,"Gomez, Stein and Silva",Realigned 6thgeneration contingency for seize killer architectures,0.417,0.583,0.0,-0.6486
55,Tucker and Sons,Quality-focused bottom-line project for matrix transparent web services,0.0,1.0,0.0,0.0
56,Byrd-Cunningham,Open-architected asymmetric function for facilitate visionary portals,0.0,0.638,0.362,0.5267
57,"Waters, Lawson and Turner",Business-focused tertiary middleware for transition magnetic models,0.0,1.0,0.0,0.0
58,Chen-Zimmerman,Programmable static collaboration for engage rich e-services,0.0,0.455,0.545,0.7184
59,Gould-Gibbs,Triple-buffered solution-oriented intranet for redefine efficient deliverables,0.0,0.682,0.318,0.4215
60,Martinez Ltd,Face-to-face next generation service-desk for matrix collaborative web services,0.0,1.0,0.0,0.0
61,"Hernandez, Watts and Morgan",User-friendly dedicated conglomeration for monetize cutting-edge partnerships,0.0,0.667,0.333,0.4588
62,Williams-Tucker,Self-enabling executive encryption for envisioneer next-generation mindshare,0.0,1.0,0.0,0.0
63,"Christensen, Mcclain and Smith",Digitized logistical approach for transform robust architectures,0.0,0.714,0.286,0.34
64,"Ruiz, Alexander and Perez",Centralized even-keeled access for generate granular content,0.0,1.0,0.0,0.0
65,Peterson-Brown,Seamless bottom-line hierarchy for streamline compelling e-services,0.0,0.759,0.241,0.2263
66,"Smith, Evans and Reed",Customer-focused reciprocal hierarchy for syndicate cutting-edge paradigms,0.0,1.0,0.0,0.0
67,Hurley-White,Stand-alone well-modulated emulation for drive granular relationships,0.0,1.0,0.0,0.0
68,"Lopez, Ward and Cunningham",Sharable attitude-oriented infrastructure for utilize customized interfaces,0.0,1.0,0.0,0.0
69,Morse PLC,Advanced responsive algorithm for strategize collaborative supply-chains,0.0,0.526,0.474,0.5423
70,King-Davis,Digitized bandwidth-monitored moratorium for iterate visionary paradigms,0.0,0.638,0.362,0.5267
71,Hughes PLC,Managed contextually-based attitude for evolve 24/7 vortals,0.0,1.0,0.0,0.0
72,Knox Group,Streamlined modular budgetary management for syndicate one-to-one markets,0.0,1.0,0.0,0.0
73,Gutierrez and Sons,Horizontal methodical knowledge user for generate bricks-and-clicks e-commerce,0.0,0.814,0.186,0.1531
74,Miller-Duncan,Ergonomic directional time-frame for incentivize robust infrastructures,0.0,0.714,0.286,0.34
75,"Morrison, Turner and Sexton",Managed mobile moderator for transition integrated networks,0.0,1.0,0.0,0.0
76,Wilson-Lara,Exclusive zero administration flexibility for deploy mission-critical ROI,0.0,0.606,0.394,0.4404
77,"Kemp, Morgan and Stephenson",Horizontal web-enabled data-warehouse for benchmark cross-media applications,0.0,1.0,0.0,0.0
78,Miller-Warren,Enterprise-wide uniform knowledgebase for disintermediate impactful e-commerce,0.0,1.0,0.0,0.0
79,Noble-Carpenter,Re-engineered systematic task-force for incentivize leading-edge vortals,0.0,1.0,0.0,0.0
80,Webb and Sons,Stand-alone secondary info-mediaries for deliver scalable convergence,0.0,1.0,0.0,0.0
81,"Anderson, Cruz and Johnson",Intuitive client-driven Internet solution for optimize next-generation e-tailers,0.0,0.522,0.478,0.6705
82,Hunt-Wright,Horizontal incremental customer loyalty for scale best-of-breed action-items,0.0,0.667,0.333,0.5423
83,Pollard Group,De-engineered motivating alliance for synthesize synergistic technologies,0.0,0.652,0.348,0.4939
84,Williams-Carpenter,Function-based hybrid extranet for integrate granular channels,0.0,1.0,0.0,0.0
85,Cole-Lewis,Self-enabling analyzing installation for engineer transparent networks,0.0,1.0,0.0,0.0
86,Nelson-Johnson,Virtual multi-state task-force for seize leading-edge functionalities,0.0,1.0,0.0,0.0
87,Saunders LLC,Horizontal scalable moratorium for visualize customized eyeballs,0.0,1.0,0.0,0.0
88,Allen Ltd,Decentralized explicit artificial intelligence for integrate cross-media schemas,0.0,0.693,0.307,0.4767
89,"Oneill, Barry and Burns",Realigned leadingedge conglomeration for e-enable strategic portals,0.0,1.0,0.0,0.0
90,"Whitney, Kennedy and Reed",Triple-buffered holistic pricing structure for generate B2B e-markets,0.0,1.0,0.0,0.0
91,Perez-Wells,Organized systematic throughput for envisioneer plug-and-play paradigms,0.0,1.0,0.0,0.0
92,"Bell, Vargas and Vasquez",Vision-oriented regional neural-net for benchmark best-of-breed relationships,0.0,1.0,0.0,0.0
93,Douglas LLC,Open-source explicit protocol for facilitate 24/365 communities,0.0,1.0,0.0,0.0
94,Schmidt Ltd,Multi-layered modular hardware for incubate plug-and-play vortals,0.0,1.0,0.0,0.0
95,Lowe-Fields,Ameliorated zero administration array for seize 24/365 eyeballs,0.0,1.0,0.0,0.0
96,Walters and Sons,Universal radical matrix for orchestrate back-end paradigms,0.0,1.0,0.0,0.0
97,Robinson-Rose,Upgradable 5thgeneration access for matrix bricks-and-clicks web services,0.0,1.0,0.0,0.0
98,"Blackwell, Young and Vazquez",Optional multi-tasking moderator for benchmark dot-com e-tailers,0.0,1.0,0.0,0.0
99,Smith Group,Face-to-face composite workforce for generate vertical web-readiness,0.0,1.0,0.0,0.0
100,Quinn Group,Persevering mobile support for benchmark proactive e-business,0.0,0.476,0.524,0.6705
101,Bell LLC,Advanced 5thgeneration Graphical User Interface for orchestrate web-enabled markets,0.0,0.8,0.2,0.25
102,Guerra-Hensley,Synchronized heuristic workforce for generate out-of-the-box communities,0.0,1.0,0.0,0.0
103,"Manning, Duncan and Maddox",Versatile zero tolerance superstructure for revolutionize ubiquitous vortals,0.0,0.761,0.239,0.296
104,Barry PLC,Total mobile pricing structure for generate innovative action-items,0.0,0.707,0.293,0.4404
105,Potter Ltd,Programmable client-driven framework for maximize front-end convergence,0.0,1.0,0.0,0.0
106,Davis-Miller,Compatible 3rdgeneration system engine for productize front-end initiatives,0.0,1.0,0.0,0.0
107,Wilson and Sons,Business-focused actuating archive for evolve synergistic web services,0.0,1.0,0.0,0.0
108,"Baker, Woodard and Davis",Assimilated object-oriented installation for envisioneer B2C methodologies,0.0,1.0,0.0,0.0
109,Hubbard-Haynes,Digitized cohesive monitoring for unleash transparent vortals,0.0,1.0,0.0,0.0
110,Wilson Group,Re-engineered foreground installation for redefine virtual markets,0.0,1.0,0.0,0.0
111,"Cox, Schmidt and Schroeder",Future-proofed real-time groupware for deliver revolutionary applications,0.0,1.0,0.0,0.0
112,Ortiz-Walters,Profound exuding implementation for monetize cutting-edge solutions,0.0,0.779,0.221,0.1779
113,"Dalton, Jones and Green",Secured executive toolset for target cross-platform solutions,0.0,0.532,0.468,0.5267
114,Edwards-Weiss,Up-sized bandwidth-monitored archive for implement virtual action-items,0.0,1.0,0.0,0.0
115,"Moore, Hughes and Mcdaniel",User-friendly 5thgeneration task-force for e-enable cross-media platforms,0.0,1.0,0.0,0.0
116,"Pena, Wilkinson and Morris",Reactive explicit solution for generate cross-platform networks,0.0,0.723,0.277,0.3182
117,Wagner Inc,Advanced mission-critical installation for brand transparent ROI,0.0,0.75,0.25,0.25
118,"Leach, Rodriguez and Webb",Exclusive motivating Graphical User Interface for target user-centric convergence,0.0,0.598,0.402,0.5719
119,"Davis, Dennis and Schroeder",Vision-oriented reciprocal capacity for architect efficient users,0.0,0.682,0.318,0.4215
120,Kim-Kim,Proactive content-based circuit for repurpose compelling supply-chains,0.0,0.515,0.485,0.5719
121,"Hall, Thompson and Sutton",Ergonomic mission-critical toolset for expedite proactive e-business,0.0,0.682,0.318,0.4215
122,Wiggins-Mcclure,Cross-group neutral workforce for synthesize distributed architectures,0.0,1.0,0.0,0.0
123,Brown PLC,Open-architected value-added challenge for envisioneer compelling vortals,0.0,0.61,0.39,0.296
124,Jenkins Ltd,Future-proofed executive hub for syndicate out-of-the-box infrastructures,0.0,1.0,0.0,0.0
125,Mcdonald Inc,Extended dedicated capability for extend robust methodologies,0.0,0.36,0.64,0.7269
126,"Miller, Murray and Kelley",Future-proofed heuristic access for innovate bleeding-edge e-markets,0.0,0.652,0.348,0.4939
127,Clark LLC,Organic contextually-based artificial intelligence for synergize customized vortals,0.0,0.693,0.307,0.4767
128,"Lewis, Bass and Robinson",Up-sized heuristic time-frame for whiteboard back-end initiatives,0.0,1.0,0.0,0.0
129,Morales-Shelton,Seamless zero tolerance analyzer for enable scalable e-markets,0.0,0.761,0.239,0.296
130,"Jacobs, Richardson and Hayes",Synergistic interactive attitude for unleash impactful channels,0.0,1.0,0.0,0.0
131,Harrington-Clark,Configurable explicit paradigm for optimize real-time eyeballs,0.0,0.652,0.348,0.4939
132,"Cline, Lee and Mays",Seamless dynamic initiative for matrix rich eyeballs,0.0,0.446,0.554,0.7351
133,Gordon and Sons,Progressive secondary adapter for visualize one-to-one infrastructures,0.0,1.0,0.0,0.0
134,Mooney-Miller,Expanded tertiary structure for cultivate mission-critical e-commerce,0.0,1.0,0.0,0.0
135,Meyer PLC,Multi-tiered uniform productivity for empower cross-media mindshare,0.0,1.0,0.0,0.0
136,Young-Bailey,Versatile bottom-line alliance for revolutionize killer bandwidth,0.417,0.583,0.0,-0.6486
137,Diaz-Edwards,Vision-oriented value-added database for enable holistic deliverables,0.0,1.0,0.0,0.0
138,Williamson Ltd,Implemented contextually-based moderator for empower compelling experiences,0.0,0.759,0.241,0.2263
139,Barber-Fisher,Future-proofed 24hour implementation for integrate intuitive applications,0.0,1.0,0.0,0.0
140,"Anderson, Black and Gregory",Stand-alone value-added approach for harness mission-critical systems,0.0,1.0,0.0,0.0
141,Ortiz LLC,Total needs-based open system for innovate value-added technologies,0.0,0.686,0.314,0.4939
142,"Clarke, Green and Wallace",Managed transitional projection for implement turn-key niches,0.0,1.0,0.0,0.0
143,Brock Inc,Balanced maximized complexity for drive clicks-and-mortar methodologies,0.0,1.0,0.0,0.0
144,"Bradley, Boyd and Cross",Polarized solution-oriented core for transform dot-com experiences,0.0,1.0,0.0,0.0
145,"Wilkerson, Nolan and Haney",Synergized discrete intranet for maximize enterprise methodologies,0.0,1.0,0.0,0.0
146,Pham-Fitzgerald,Re-engineered mission-critical service-desk for repurpose B2C paradigms,0.0,1.0,0.0,0.0
147,Jones and Sons,Down-sized 24hour budgetary management for matrix viral interfaces,0.0,1.0,0.0,0.0
148,White Ltd,Distributed exuding flexibility for deliver B2C technologies,0.0,0.714,0.286,0.34
149,Turner Inc,Compatible needs-based paradigm for deploy sticky metrics,0.0,1.0,0.0,0.0
